GENESIS-Tabelle: 63111-0003
Ausstattung privater Haushalte (Laufende;;;;
Wirtschaftsrechnungen): Deutschland, Stichtag,;;;;
Gebrauchsgüter, Haushaltsnettoeinkommensklassen;;;;
Laufende Wirtschaftsrechnungen: Allgemeine Angaben;;;;
Deutschland;;;;
;;;;01.01.2021
unter 1250 EUR;Erfasste Haushalte;;Anzahl;913
unter 1250 EUR;Hochgerechnete Haushalte;;1000;6535
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen;Prozent;39,5
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen fabrikneu gekauft;Prozent;11,5
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Pkw fabrikneu gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen gebraucht gekauft;Prozent;27,7
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Pkw gebraucht gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen geleast;Prozent;/
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Pkw geleast, Elektroauto, Plug-in-Hybrid;Prozent;/
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Krafträder;Prozent;-
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Kraftrad mit Führerscheinpflicht;Prozent;4,4
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;E-Roller, E-Bike mit Führerscheinpflicht;Prozent;/
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Fahrrad;Prozent;62,6
unter 1250 EUR;Ausstattungsgrad je 100 Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Prozent;4,9
1250 EUR bis unter 1750 EUR;Erfasste Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Anzahl;981
1250 EUR bis unter 1750 EUR;Hochgerechnete Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);1000;5866
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen;Prozent;64,1
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen fabrikneu gekauft;Prozent;23,4
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Pkw fabrikneu gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen gebraucht gekauft;Prozent;39,7
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Pkw gebraucht gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen geleast;Prozent;/
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Pkw geleast, Elektroauto, Plug-in-Hybrid;Prozent;/
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Krafträder;Prozent;-
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Kraftrad mit Führerscheinpflicht;Prozent;8,5
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;E-Roller, E-Bike mit Führerscheinpflicht;Prozent;/
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Fahrrad;Prozent;71,3
1250 EUR bis unter 1750 EUR;Ausstattungsgrad je 100 Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Prozent;9,5
1750 EUR bis unter 2500 EUR;Erfasste Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Anzahl;1572
1750 EUR bis unter 2500 EUR;Hochgerechnete Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);1000;8207
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen;Prozent;81,0
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen fabrikneu gekauft;Prozent;34,3
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Pkw fabrikneu gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen gebraucht gekauft;Prozent;47,4
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Pkw gebraucht gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen geleast;Prozent;2,6
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Pkw geleast, Elektroauto, Plug-in-Hybrid;Prozent;/
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Krafträder;Prozent;-
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Kraftrad mit Führerscheinpflicht;Prozent;9,8
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;E-Roller, E-Bike mit Führerscheinpflicht;Prozent;/
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Fahrrad;Prozent;78,8
1750 EUR bis unter 2500 EUR;Ausstattungsgrad je 100 Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Prozent;12,8
2500 EUR bis unter 3500 EUR;Erfasste Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Anzahl;1692
2500 EUR bis unter 3500 EUR;Hochgerechnete Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);1000;7398
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen;Prozent;89,8
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen fabrikneu gekauft;Prozent;41,3
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Pkw fabrikneu gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen gebraucht gekauft;Prozent;55,4
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Pkw gebraucht gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen geleast;Prozent;4,7
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Pkw geleast, Elektroauto, Plug-in-Hybrid;Prozent;/
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Krafträder;Prozent;-
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Kraftrad mit Führerscheinpflicht;Prozent;16,0
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;E-Roller, E-Bike mit Führerscheinpflicht;Prozent;2,3
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Fahrrad;Prozent;85,0
2500 EUR bis unter 3500 EUR;Ausstattungsgrad je 100 Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Prozent;14,6
3500 EUR bis unter 5000 EUR;Erfasste Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Anzahl;1475
3500 EUR bis unter 5000 EUR;Hochgerechnete Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);1000;5996
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen;Prozent;95,0
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen fabrikneu gekauft;Prozent;44,8
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Pkw fabrikneu gekauft, Elektroauto, Plug-in-Hybrid;Prozent;2,7
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen gebraucht gekauft;Prozent;63,5
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Pkw gebraucht gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen geleast;Prozent;8,8
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Pkw geleast, Elektroauto, Plug-in-Hybrid;Prozent;/
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Krafträder;Prozent;-
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Kraftrad mit Führerscheinpflicht;Prozent;20,2
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;E-Roller, E-Bike mit Führerscheinpflicht;Prozent;3,3
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Fahrrad;Prozent;88,8
3500 EUR bis unter 5000 EUR;Ausstattungsgrad je 100 Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Prozent;19,4
5000 EUR bis unter 18000 EUR;Erfasste Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Anzahl;997
5000 EUR bis unter 18000 EUR;Hochgerechnete Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);1000;3992
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen;Prozent;97,8
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen fabrikneu gekauft;Prozent;50,1
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Pkw fabrikneu gekauft, Elektroauto, Plug-in-Hybrid;Prozent;2,9
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen gebraucht gekauft;Prozent;62,9
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Pkw gebraucht gekauft, Elektroauto, Plug-in-Hybrid;Prozent;/
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Personenkraftwagen geleast;Prozent;17,4
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Pkw geleast, Elektroauto, Plug-in-Hybrid;Prozent;/
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Krafträder;Prozent;-
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Kraftrad mit Führerscheinpflicht;Prozent;19,8
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;E-Roller, E-Bike mit Führerscheinpflicht;Prozent;/
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Fahrrad;Prozent;92,3
5000 EUR bis unter 18000 EUR;Ausstattungsgrad je 100 Haushalte;Pedelec (E-Bike ohne Führerscheinpflicht);Prozent;22,2
__________
